Package,Class,Method,Parameters,CC
org.apache.commons.collections4.bidimap,DualTreeBidiMap,createBidiMap,[final Map<V, K> normalMap, final Map<K, V> reverseMap, final BidiMap<K, V> inverseMap],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,firstKey,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,headMap,[final K toKey],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,inverseBidiMap,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,inverseOrderedBidiMap,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,inverseSortedBidiMap,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,lastKey,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,mapIterator,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,nextKey,[final K key],4
org.apache.commons.collections4.bidimap,DualTreeBidiMap,previousKey,[final K key],4
org.apache.commons.collections4.bidimap,DualTreeBidiMap,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,subMap,[final K fromKey, final K toKey],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,tailMap,[final K fromKey],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,valueComparator,[],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bidimap,AbstractView,clear,[],1
org.apache.commons.collections4.bidimap,AbstractView,size,[],1
org.apache.commons.collections4.bidimap,AbstractViewIterator,hasNext,[],1
org.apache.commons.collections4.bidimap,AbstractViewIterator,hasPrevious,[],1
org.apache.commons.collections4.bidimap,AbstractViewIterator,navigateNext,[],3
org.apache.commons.collections4.bidimap,AbstractViewIterator,navigatePrevious,[],4
org.apache.commons.collections4.bidimap,AbstractViewIterator,remove,[],4
org.apache.commons.collections4.bidimap,TreeBidiMap,toString,[],1
org.apache.commons.collections4.bidimap,EntryView,contains,[final Object obj],2
org.apache.commons.collections4.bidimap,EntryView,iterator,[],1
org.apache.commons.collections4.bidimap,EntryView,remove,[final Object obj],3
org.apache.commons.collections4.bidimap,Inverse,clear,[],1
org.apache.commons.collections4.bidimap,Inverse,containsKey,[final Object key],1
org.apache.commons.collections4.bidimap,Inverse,containsValue,[final Object value],1
org.apache.commons.collections4.bidimap,Inverse,entrySet,[],2
org.apache.commons.collections4.bidimap,Inverse,equals,[final Object obj],1
org.apache.commons.collections4.bidimap,Inverse,firstKey,[],2
org.apache.commons.collections4.bidimap,Inverse,get,[final Object key],1
org.apache.commons.collections4.bidimap,Inverse,getKey,[final Object value],1
org.apache.commons.collections4.bidimap,Inverse,hashCode,[],1
org.apache.commons.collections4.bidimap,Inverse,inverseBidiMap,[],1
org.apache.commons.collections4.bidimap,Inverse,isEmpty,[],1
org.apache.commons.collections4.bidimap,Inverse,keySet,[],2
org.apache.commons.collections4.bidimap,Inverse,lastKey,[],2
org.apache.commons.collections4.bidimap,Inverse,mapIterator,[],2
org.apache.commons.collections4.bidimap,Inverse,nextKey,[final V key],1
org.apache.commons.collections4.bidimap,Inverse,previousKey,[final V key],1
org.apache.commons.collections4.bidimap,Inverse,put,[final V key, final K value],1
org.apache.commons.collections4.bidimap,Inverse,putAll,[final Map<? extends V, ? extends K> map],1
org.apache.commons.collections4.bidimap,Inverse,remove,[final Object key],1
org.apache.commons.collections4.bidimap,Inverse,removeValue,[final Object value],1
org.apache.commons.collections4.bidimap,Inverse,size,[],1
org.apache.commons.collections4.bidimap,Inverse,toString,[],1
org.apache.commons.collections4.bidimap,Inverse,values,[],2
org.apache.commons.collections4.bidimap,InverseEntryView,contains,[final Object obj],2
org.apache.commons.collections4.bidimap,InverseEntryView,iterator,[],1
org.apache.commons.collections4.bidimap,InverseEntryView,remove,[final Object obj],3
org.apache.commons.collections4.bidimap,InverseViewMapEntryIterator,createEntry,[final Node<K, V> node],1
org.apache.commons.collections4.bidimap,InverseViewMapEntryIterator,next,[],1
org.apache.commons.collections4.bidimap,InverseViewMapEntryIterator,previous,[],1
org.apache.commons.collections4.bidimap,InverseViewMapIterator,getKey,[],2
org.apache.commons.collections4.bidimap,InverseViewMapIterator,getValue,[],2
org.apache.commons.collections4.bidimap,InverseViewMapIterator,next,[],1
org.apache.commons.collections4.bidimap,InverseViewMapIterator,previous,[],1
org.apache.commons.collections4.bidimap,InverseViewMapIterator,setValue,[final K value],1
org.apache.commons.collections4.bidimap,KeyView,contains,[final Object obj],1
org.apache.commons.collections4.bidimap,KeyView,iterator,[],1
org.apache.commons.collections4.bidimap,KeyView,remove,[final Object o],1
org.apache.commons.collections4.bidimap,Node,copyColor,[final Node<K, V> node, final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,equals,[final Object obj],3
org.apache.commons.collections4.bidimap,Node,getData,[final DataElement dataElement],4
org.apache.commons.collections4.bidimap,Node,getKey,[],1
org.apache.commons.collections4.bidimap,Node,getLeft,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,getParent,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,getRight,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,getValue,[],1
org.apache.commons.collections4.bidimap,Node,hashCode,[],2
org.apache.commons.collections4.bidimap,Node,isBlack,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,isLeftChild,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,isRed,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,isRightChild,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,setBlack,[final DataElement dataElement],1
org.apache.commons.collections4.bidimap,Node,setLeft,[final Node<K, V> node, final DataElement dataElement],1
